gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4217901693													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1541239143	OBS1541239143		obsr1158380		3													PRESENT																												2022	10	14																Kazakhstan		Aqmola oblysy			Президентский парк, Астана, KZ (51,123, 71,461)													51.12331	71.46088	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4217530981													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1373359124	OBS1373359124		obsr983633		1													PRESENT																												2022	03	24																Kazakhstan		Atyrau oblysy			Atyrau--Ural River													47.105537	51.918896	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4217423216													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1438712462	OBS1438712462		obsr1058181		3													PRESENT																												2022	05	22																Kazakhstan		Ongtüstik Qazaqstan oblysy			South Kazakhstan Province, KZ (43,105, 69,896)													43.10527	69.89564	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4217357818													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1434725428	OBS1434725428		obsr282700		2													PRESENT																												2022	05	06																Kazakhstan		Almaty oblysy			Taukum Desert--General Area													44.36833	75.401474	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4217357749													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1434707608	OBS1434707608		obsr1092180		1													PRESENT																												2022	05	14																Kazakhstan		Almaty oblysy			Ile-Alatau NP--Alpine Rose													43.074867	76.9893	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4217233998													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1447977684	OBS1447977684		obsr422861		2													PRESENT																												2022	05	30																Kazakhstan		Almaty			Almatı oblısı--Right bank of the Ili river near Azkhar													44.98345	75.8158	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4216247943													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1605271260	OBS1605271260		obsr1471147		1													PRESENT																												2003	06	07																Kazakhstan		Almaty oblysy			Sharyn River--Hunting Cabins													43.536575	79.28666	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4216110283													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1485896440	OBS1485896440		obsr416326		8													PRESENT																												2005	05	08																Kazakhstan		Almaty			Roadside birding between Almaty and Bartagoy													43.522354	77.74055	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4215986951													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1348234535	OBS1348234535		obsr983633		6													PRESENT																												2022	02	20																Kazakhstan		Atyrau oblysy			Atyrau Yard													47.101337	51.91241	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4215517968													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1449239789	OBS1449239789		obsr923358		2													PRESENT																												2022	06	02																Kazakhstan		Ongtüstik Qazaqstan oblysy			Murunkarak													42.27916	67.76075	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4214241749													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1532143250	OBS1532143250		obsr503990		1													PRESENT																												2022	10	03																Kazakhstan		Almaty			Almaty, Almaty Province, KZ (43,102, 76,927)													43.102093	76.926895	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
4213981097													CLO	EBIRD			HumanObservation				URN:catalog:CLO:EBIRD:OBS1538149653	OBS1538149653		obsr1015159		1													PRESENT																												2022	09	25																Kazakhstan		Almaty			Bakbakty fields (44,541, 76,687)													44.54132	76.686966	WGS84																																																				avibase-E15BC0CB	Parus major								Animalia	Chordata	Aves	Passeriformes		Paridae				Parus				major						Great Tit				
